 Calibration of amptek channel to energy (20 Aug 2014) A=-0.29036  B=0.00568913  (egy = A + B * chan_num)
 15  P  K  2145.50  2013.70  2012.70      .00      .00      .00      .00      .00  1944.27  2082.17  1645.50  2095.50  2195.50  2645.50  3  6645.50      .00
 16  S  K  2472.00  2307.80  2306.60      .00      .00      .00      .00      .00  2228.18  2386.27  1972.00  2422.00  2522.00  2972.00  3  6972.00      .00
 17 Cl  K  2822.00  2622.40  2620.80      .00      .00      .00      .00      .00  2531.69  2711.56  2322.00  2772.00  2872.00  3322.00  3  7322.00      .00
 18 Ar  K  3205.90  2957.70  2955.60      .00      .00      .00      .00      .00  2855.11  3058.26  2705.90  3155.90  3255.90  3705.90  3  7705.90      .00
 19  K  K  3608.40  3313.80  3311.10      .00      .00      .00      .00      .00  3198.52  3426.47  3108.40  3558.40  3658.40  4108.40  3  8108.40      .00
 20 Ca  K  4038.50  3691.70  3688.10      .00      .00      .00      .00      .00  3562.70  3817.22  3538.50  3988.50  4088.50  4538.50  3  8538.50      .00
 21 Sc  K  4492.00  4090.60  4086.10      .00      .00      .00      .00      .00  3947.17  4229.68  3992.00  4442.00  4542.00  4992.00  3  8992.00      .00
 22 Ti  K  4966.00  4510.80  4504.90      .00      .00      .00      .00      .00  4351.73  4664.17  4466.00  4916.00  5016.00  5466.00  3  9466.00      .00
 23  V  K  5465.00  4952.20  4944.60      .00      .00      .00      .00      .00  4776.48  5120.58  4965.00  5415.00  5515.00  5965.00  3  9965.00      .00
 24 Cr  K  5989.00  5414.70  5405.50      .00      .00      .00      .00      .00  5221.71  5598.80  5489.00  5939.00  6039.00  6489.00  3 10489.00      .00
 25 Mn  K  6539.00  5898.80  5887.70      .00      .00      .00      .00      .00  5687.52  6099.36  6039.00  6489.00  6589.00  7039.00  3 11039.00      .00
 26 Fe  K  7112.00  6403.80  6390.80      .00      .00      .00      .00      .00  6173.51  6621.53  6612.00  7062.00  7162.00  7612.00  3 11612.00      .00
 27 Co  K  7709.00  6930.30  6915.30      .00      .00      .00      .00      .00  6680.18  7165.93  7209.00  7659.00  7759.00  8209.00  3 12209.00      .00
 28 Ni  K  8333.00  7478.20  7460.90      .00      .00      .00      .00      .00  7207.23  7732.46  7833.00  8283.00  8383.00  8833.00  3 12833.00      .00
 29 Cu  K  8979.00  8047.80  8027.80      .00      .00      .00      .00      .00  7754.85  8321.42  8479.00  8929.00  9029.00  9479.00  3 13479.00      .00
 30 Zn  K  9659.00  8638.90  8615.80      .00      .00      .00      .00      .00  8322.86  8932.62  9159.00  9609.00  9709.00 10159.00  3 14159.00      .00
 31 Ga  K 10367.00  9215.70  9224.80      .00      .00      .00      .00      .00  8911.16  9529.03  9867.00 10317.00 10417.00 10867.00  3 14867.00      .00
 32 Ge  K 11103.00  9886.40  9855.30      .00      .00      .00      .00      .00  9520.22 10222.54 10603.00 11053.00 11153.00 11603.00  3 15603.00      .00
 33 As  K 11867.00 10543.70 10508.00      .00      .00      .00      .00      .00 10150.73 10902.19 11367.00 11817.00 11917.00 12367.00  3 16367.00      .00
 34 Se  K 12658.00 11222.40 11181.40      .00      .00      .00      .00      .00 10801.23 11603.96 12158.00 12608.00 12708.00 13158.00  3 17158.00      .00
 35 Br  K 13474.00 11924.20 11877.60      .00      .00      .00      .00      .00 11473.76 12329.62 12974.00 13424.00 13524.00 13974.00  3 17974.00      .00
 36 Kr  K 14326.00 12649.00 12598.00      .00      .00      .00      .00      .00 12169.67 13079.07 13826.00 14276.00 14376.00 14826.00  3 18826.00      .00
 37 Rb  K 15200.00 13395.30 13335.80      .00      .00      .00      .00      .00 12882.38 13850.74 14700.00 15150.00 15250.00 15700.00  3 19700.00      .00
 37 Rb  L      .00      .00      .00  2065.00  1864.00  1804.00  1694.10  1692.60  1635.05  1751.70  1304.00  1754.00  1854.00  2304.00  2      .00  2565.00
 38 Sr  K 16105.00 14165.00 14097.90      .00      .00      .00  1694.10  1692.60 13618.57 14646.61 15605.00 16055.00 16155.00 16605.00  3 20605.00      .00
 38 Sr  L      .00      .00      .00  2216.00  2007.00  1940.00  1806.60  1804.70  1743.34  1868.02  1440.00  1890.00  1990.00  2440.00  2      .00  2716.00
 39  Y  K 17038.00 14958.40 14882.90      .00      .00      .00  1806.60  1804.70 14376.88 15466.99 16538.00 16988.00 17088.00 17538.00  3 21538.00      .00
 39  Y  L      .00      .00      .00  2373.00  2156.00  2080.00  1922.60  1920.50  1855.20  1987.97  1580.00  2030.00  2130.00  2580.00  2      .00  2873.00
 40 Zr  K 17998.00 15775.10 15690.90      .00      .00      .00  1922.60  1920.50 15157.41 16311.45 17498.00 17948.00 18048.00 18498.00  3 22498.00      .00
 40 Zr  L      .00      .00      .00  2532.00  2307.00  2223.00  2042.40  2039.90  1970.54  2111.84  1723.00  2173.00  2273.00  2723.00  2      .00  3032.00
 41 Nb  K 18986.00 16615.10 16521.00      .00      .00      .00  2042.40  2039.90 15959.29 17180.01 18486.00 18936.00 19036.00 19486.00  3 23486.00      .00
 41 Nb  L      .00      .00      .00  2698.00  2465.00  2371.00  2165.90  2163.00  2089.46  2239.54  1871.00  2321.00  2421.00  2871.00  2      .00  3198.00
 42 Mo  K 20000.00 17479.30 17374.30      .00      .00      .00  2165.90  2163.00 16783.57 18073.60 19500.00 19950.00 20050.00 20500.00  3 24500.00      .00
